step,price,action,position,balance,portfolio_value
1221,0.13095,5,9563.924683799545,13232.958571060375,14485.354508403925
1227,0.13702,4,48194.66055027269,7939.775142636225,14543.407531234589
1228,0.13872,4,71089.05254172662,4763.865085581734,14625.33845417005
1229,0.13977,7,49762.336779208636,7744.7001477088725,14699.981959338864
1234,0.13458,7,34833.635745446045,9753.804732832643,14441.715431454772
1238,0.13128,7,24383.54502181223,11125.69264303129,14326.7644334948
1246,0.12429,4,60189.13724333058,6675.415585818774,14156.32345379233
1253,0.13019,7,42132.39607033141,9026.222719131536,14511.439363527981
1262,0.12955,4,70001.86027451986,5415.733631478921,14484.474630042969
1263,0.13051,7,49001.3021921639,8156.516466807197,14551.676415906506
1264,0.13086,7,34300.91153451473,10080.209588267167,14568.826871673766
1287,0.1204,7,24010.638074160313,11319.158512893839,14210.03933702274
1292,0.11777,3,52844.361041538694,7923.410959025687,14146.891358887699
1293,0.11634,7,36991.052729077084,9767.78484809747,14071.323922598298
1294,0.1172,5,33291.94745616938,10201.319986082253,14103.136227945304
1298,0.1127,7,23304.363219318566,11326.92072957534,13953.322464392542
1300,0.11292,7,16313.054253522996,12116.379337992976,13958.449424300792
1312,0.0846,3,59278.93843080306,8481.465536595082,13496.46372784102
1313,0.09526,4,94892.90247277275,5088.879321957049,14128.377211513382
1314,0.09388,4,116575.3878667099,3053.327593174229,13997.425006100955
1315,0.09436,7,81602.77150669694,6353.343672905054,14053.381192276976
1351,0.10059,4,106867.08673844981,3812.006203743032,14561.7664587637
1358,0.10476,7,74806.96071691487,7170.625005759033,15007.402210463035
1370,0.1027,7,52364.87250184041,9475.427465447181,14853.29987138619
1371,0.10261,8,31418.923501104244,11624.69129241272,14848.587032861025
1377,0.10172,4,77131.43349879484,6974.814775447631,14820.624190945044
1378,0.10093,5,69418.29014891536,7753.302333750968,14759.690358480995
1399,0.10133,7,48592.80310424075,9863.548935987845,14787.457674540561
1413,0.10593,5,43733.52279381668,10378.292499271067,15010.984568820068
1421,0.10989,7,30613.465955671676,11820.055545214822,15184.169319083583
1423,0.11293,4,72480.30575099558,7092.033327128893,15277.234255588824
